Month,#Passengers
2019-01,112
2019-02,118
2019-03,132
2019-04,129
2019-05,121
2019-06,135
2019-07,148
2019-08,148
2019-09,136
2019-10,119
2019-11,104
2019-12,118
2020-01,115
2020-02,126
2020-03,141
2020-04,135
2020-05,125
2020-06,149
2020-07,170
2020-08,170
2020-09,158
2020-10,133
2020-11,114
2020-12,140
2021-01,145
2021-02,150
2021-03,178
2021-04,163
2021-05,172
2021-06,178
2021-07,199
2021-08,199
2021-09,184
2021-10,162
2021-11,146
2021-12,166
2022-01,171
2022-02,180
2022-03,193
2022-04,181
2022-05,183
2022-06,218
2022-07,230
2022-08,242
2022-09,209
2022-10,191
2022-11,172
2022-12,194